index,PRODUCT_NAME,BRAND,CATEGORY,PRICE_CURRENT,DEDUCED_TYPE
266968,French Cruller,Freshness Guaranteed,"Donuts, Muffins & Pastries",3.76,http://dbpedia.org/resource/Doughnut
266985,Vanilla Glazed French Crullers,Freshness Guaranteed,Sweet Treats,1.46,http://dbpedia.org/resource/The_Sweet
267002,Assorted Cake Donuts,Freshness Guaranteed,Sweet Treats,3.76,http://dbpedia.org/resource/The_Sweet
267019,White Bolillos,Freshness Guaranteed,Fresh Bakery Breads,2.42,http://dbpedia.org/resource/DJ_Fresh
267036,Italian Loaf Bread,Marketside,Fresh Bakery Breads,2.47,http://dbpedia.org/resource/DJ_Fresh
267053,Assorted Ring Donuts,Freshness Guaranteed,"Donuts, Muffins & Pastries",3.76,http://dbpedia.org/resource/Doughnut
267070,Freshness Guaranteed Sliced Plain Italian Bread,Walmart Bakery,Fresh Bakery Breads,1.24,http://dbpedia.org/resource/DJ_Fresh
267087,Rich Frosted Donuts,Entenmann's,Sweet Treats,4.48,http://dbpedia.org/resource/The_Sweet
267104,Chocolate Iced Donuts,Freshness Guaranteed,Sweet Treats,1.46,http://dbpedia.org/resource/The_Sweet
267121,French Bread,Freshness Guaranteed,Fresh Bakery Breads,1.47,http://dbpedia.org/resource/DJ_Fresh
267138,Apple Fritters,Freshness Guaranteed,Muffins & Pastries,3.76,http://dbpedia.org/resource/Muffin
267155,Bear Claws,Great Value,Muffins & Pastries,3.5,http://dbpedia.org/resource/Muffin
267172,Lemon Crullers 12 oz,Krispy Kreme,Muffins & Pastries,4.14,http://dbpedia.org/resource/Muffin
267189,Persian Cinnamon Donuts,Freshness Guaranteed,"Donuts, Muffins & Pastries",1.46,http://dbpedia.org/resource/Doughnut
267206,French Cruller,Freshness Guaranteed,"Donuts, Muffins & Pastries",3.76,http://dbpedia.org/resource/Doughnut
267223,Apple Cinnamon Honey Buns,Great Value,Muffins & Pastries,3.68,http://dbpedia.org/resource/Muffin
267240,Pumpkin Spice 12 ct,Krispy Kreme,Muffins & Pastries,4.14,http://dbpedia.org/resource/Muffin
267257,Vanilla Glazed Cake Donuts,Freshness Guaranteed,"Donuts, Muffins & Pastries",1.46,http://dbpedia.org/resource/Doughnut
267274,Old Fashioned Donut Holes,Freshness Guaranteed,Sweet Treats,3.24,http://dbpedia.org/resource/The_Sweet
267291,Cinnamon Mini Donuts,Freshness Guaranteed,Sweet Treats,3.24,http://dbpedia.org/resource/The_Sweet
267308,Glazed Donuts,Freshness Guaranteed,"Donuts, Muffins & Pastries",4.92,http://dbpedia.org/resource/Doughnut
267325,Plain Cake Donuts,Freshness Guaranteed,"Donuts, Muffins & Pastries",1.46,http://dbpedia.org/resource/Doughnut
267342,Iced Fluff Filled Bar Donuts,Freshness Guaranteed,"Donuts, Muffins & Pastries",1.46,http://dbpedia.org/resource/Doughnut
267359,French Cruller,Freshness Guaranteed,"Donuts, Muffins & Pastries",3.76,http://dbpedia.org/resource/Doughnut
267376,Plain Cake Donuts,Freshness Guaranteed,"Donuts, Muffins & Pastries",1.46,http://dbpedia.org/resource/Doughnut
267393,Cinnamon Mini Donuts,Freshness Guaranteed,"Donuts, Muffins & Pastries",3.24,http://dbpedia.org/resource/Doughnut
267410,Glazed Vanilla Cake Donuts,Freshness Guaranteed,Sweet Treats,3.76,http://dbpedia.org/resource/The_Sweet
267427,Chocolate Iced Donuts with Sprinkles,Freshness Guaranteed,Sweet Treats,3.76,http://dbpedia.org/resource/The_Sweet
267444,Garlic Herb French Bread,Freshness Guaranteed,Fresh Food,1.78,http://dbpedia.org/resource/DJ_Fresh
267461,Hard Rolls,Freshness Guaranteed,Fresh Food,3.48,http://dbpedia.org/resource/DJ_Fresh
267478,Yeasty Dinner Rolls,Freshness Guaranteed,Fresh Food,3.24,http://dbpedia.org/resource/DJ_Fresh
267495,Glazed Sour Cream Donuts,Freshness Guaranteed,Muffins & Pastries,3.76,http://dbpedia.org/resource/Muffin
267512,Powdered Sugar Mini Donuts,Freshness Guaranteed,Muffins & Pastries,3.24,http://dbpedia.org/resource/Muffin
267529,French Bread,Freshness Guaranteed,Fresh Food,1.47,http://dbpedia.org/resource/DJ_Fresh
267546,Italian Loaf Bread,Marketside,Fresh Food,2.47,http://dbpedia.org/resource/DJ_Fresh
267563,Hard Rolls,Freshness Guaranteed,Fresh Food,3.48,http://dbpedia.org/resource/DJ_Fresh
267580,Assorted Donut Holes,Freshness Guaranteed,Muffins & Pastries,3.24,http://dbpedia.org/resource/Muffin
267597,Marble Rye Sandwich Bread,Freshness Guaranteed,Fresh Food,3.62,http://dbpedia.org/resource/DJ_Fresh
267614,Wheat Bolillo Rolls,Freshness Guaranteed,Fresh Food,0.84,http://dbpedia.org/resource/DJ_Fresh
