index,PRODUCT_NAME,BRAND,CATEGORY,PRICE_CURRENT,DEDUCED_TYPE
269994,Fresh California Grown Saturn Peaches,Fresh Produce,Fresh Food,4.88,http://dbpedia.org/resource/DJ_Fresh
270011,Freshness Guaranteed  Apples,Jazz,Fresh Food,4.97,http://dbpedia.org/resource/DJ_Fresh
270028,Freshness Guaranteed Pineapple,Marketside,Fresh Food,7.97,http://dbpedia.org/resource/DJ_Fresh
270045,Farm Fresh Cage Free Large,Eggland's Best,Dairy & Eggs,3.42,http://dbpedia.org/resource/Dairy
270062,Tropical Avocado,PRODUCE UNBRANDED,Fresh Food,1.98,http://dbpedia.org/resource/DJ_Fresh
270079,Navel Oranges,PRODUCE UNBRANDED,Fresh Food,0.93,http://dbpedia.org/resource/DJ_Fresh
270096,Bartlett Pears,PRODUCE UNBRANDED,Fresh Food,4.97,http://dbpedia.org/resource/DJ_Fresh
270113,100% Liquid Egg Whites 32 oz,Great Value,Dairy & Eggs,4.14,http://dbpedia.org/resource/Dairy
270130,Freshness Guaranteed Cut Watermelon,Marketside,Fresh Food,4.48,http://dbpedia.org/resource/DJ_Fresh
270147,Freshness Guaranteed Watermelon,Del Monte,Fresh Food,3.24,http://dbpedia.org/resource/DJ_Fresh
270164,Freshness Guaranteed Pineapple,Marketside,Fresh Food,8.37,http://dbpedia.org/resource/DJ_Fresh
